,Dates,EUR,GBP,CNY,MXN
0,2017-01-20,0.9405568096,0.8144751693,6.8778216704,21.9808126411
1,2017-01-23,0.9332711153,0.8039944004,6.853569762,21.4125991601
2,2017-01-24,0.9304056569,0.8034052847,6.859043543,21.2928917008
3,2017-01-25,0.9308386857,0.7942194918,6.8821558224,21.4720282975
4,2017-01-26,0.9345794393,0.795728972,6.881682243,21.0056074766
5,2017-01-27,0.9362419249,0.7973972474,6.8957962738,21.1077614456
6,2017-01-30,0.9407337723,0.7990122295,6.877046096,20.7761053622
7,2017-01-31,0.929800093,0.8006043701,6.8777312878,20.7210599721
8,2017-02-01,0.9267840593,0.7916404078,6.8832252085,20.7048192771
9,2017-02-02,0.9252405625,0.7963360474,6.8816617321,20.5979829756
10,2017-02-03,0.9310120101,0.8007913602,6.8686342054,20.4968811098
11,2017-02-06,0.9335324869,0.8023711725,6.8614637789,20.3712658701
12,2017-02-07,0.9367681499,0.8087119438,6.884028103,20.6401873536
13,2017-02-08,0.9376465073,0.7999531177,6.872480075,20.5440225035
14,2017-02-09,0.9352787131,0.7958286569,6.8661616162,20.4432285821
15,2017-02-10,0.9408222787,0.8024273215,6.8792925016,20.2765076677
16,2017-02-13,0.9408222787,0.7986640324,6.8738357324,20.3463166808
17,2017-02-14,0.9413536666,0.8010731432,6.8626565,20.2373152593
18,2017-02-15,0.9474182852,0.805286594,6.8707721459,20.3483657035
19,2017-02-16,0.9387908374,0.7990048817,6.8558017274,20.2755351108
20,2017-02-17,0.9389671362,0.8048826291,6.8670422535,20.4741784038
21,2017-02-20,0.9419743783,0.8020440844,6.8774491334,20.4665599096
22,2017-02-21,0.9490367277,0.8053525671,6.8847869413,20.4305779634
23,2017-02-22,0.9512032721,0.8032911633,6.8782459812,20.0309141063
24,2017-02-23,0.9458053533,0.8004161544,6.8753428544,19.8760994987
25,2017-02-24,0.9425959091,0.7965218211,6.8689791686,19.6935620699
26,2017-02-27,0.9445546425,0.8055161991,6.8722017569,19.7921035232
27,2017-02-28,0.9436633009,0.8049919789,6.8679815042,19.8924223837
28,2017-03-01,0.9493971328,0.8122092471,6.880470901,20.0417734738
29,2017-03-02,0.951112802,0.8137721134,6.885961575,19.925337645
30,2017-03-03,0.9465215334,0.8173686701,6.8974917179,19.653099858
31,2017-03-06,0.9441087613,0.814765861,6.8967145015,19.529739426
32,2017-03-07,0.9455370651,0.8198751891,6.9001512859,19.4897881997
33,2017-03-08,0.9473285335,0.8218359227,6.9110458507,19.6220159151
34,2017-03-09,0.9477774619,0.821277604,6.9104350299,19.7867500711
35,2017-03-10,0.9428625306,0.822647558,6.9145766547,19.7700358288
36,2017-03-13,0.9378223764,0.8183250492,6.9133452124,19.6378129982
37,2017-03-14,0.9406452827,0.8236572289,6.9147775374,19.6094440786
38,2017-03-15,0.9414422896,0.8197420448,6.9137638863,19.5829410657
39,2017-03-16,0.9323140034,0.8093417863,6.8994965504,19.0909938467
40,2017-03-17,0.9313588526,0.809052808,6.9051876688,19.1589829561
41,2017-03-20,0.9300595238,0.8072265625,6.9073660714,19.1140252976
42,2017-03-21,0.9257544899,0.8031197926,6.889279763,18.9851879282
43,2017-03-22,0.9253261775,0.8030905894,6.8874803368,19.144998612
44,2017-03-23,0.9271277582,0.7998609308,6.8855924346,19.0953087335
45,2017-03-24,0.9254974549,0.8014807959,6.8862563628,18.9062471078
46,2017-03-27,0.9183579759,0.793488842,6.8780420608,18.8188079713
47,2017-03-28,0.92089511,0.7961598674,6.8852564693,18.8716272217
48,2017-03-29,0.9304056569,0.8037309267,6.8908634164,18.9358020097
49,2017-03-30,0.9313588526,0.8026450591,6.8895408401,18.7415479184
50,2017-03-31,0.9353661959,0.8002338415,6.8882237396,18.7236928257
51,2017-04-03,0.9379983116,0.7997373605,6.8870650033,18.7406434668
52,2017-04-04,0.9388789785,0.8038963478,6.8886489531,18.900760492
53,2017-04-05,0.9365049635,0.8008053943,6.89623525,18.7466754074
54,2017-04-06,0.9375585974,0.8024564035,6.8982748922,18.7880180011
55,2017-04-07,0.9407337723,0.805014111,6.8972718721,18.7651928504
56,2017-04-10,0.9453582908,0.8067214974,6.903195311,18.6789563244
57,2017-04-11,0.9419743783,0.803786737,6.9005275057,18.6919743783
58,2017-04-12,0.942951438,0.8,6.8920320603,18.8009429514
59,2017-04-13,0.9407337723,0.7973941675,6.8887111947,18.5946378175
60,2017-04-18,0.9361542782,0.7898801723,6.8829807152,18.5613181052
61,2017-04-19,0.9324009324,0.7779020979,6.885967366,18.6657342657
62,2017-04-20,0.9306654258,0.7810144253,6.8836668218,18.7975802699
63,2017-04-21,0.9347541597,0.7825761825,6.8859599925,18.831463825
64,2017-04-24,0.9218289086,0.7819874631,6.8852323009,18.5879424779
65,2017-04-25,0.9181893306,0.7797998347,6.8842163254,18.8417041594
66,2017-04-26,0.9180207473,0.7794271551,6.8907555311,18.9351877352
67,2017-04-27,0.9190331771,0.7758478081,6.8949545079,18.9886039886
68,2017-04-28,0.9149130833,0.7728545288,6.8954254346,18.9844464776
69,2017-05-02,0.9161704077,0.7743472286,6.8953733394,18.7419147962
70,2017-05-03,0.9158347834,0.7733308911,6.8932136643,18.8080410294
71,2017-05-04,0.915164272,0.7757389951,6.8957627894,18.979225771
72,2017-05-05,0.9123255177,0.7728309461,6.9021987045,19.0561080193
73,2017-05-08,0.9142439203,0.7722161273,6.9037301152,19.0458950448
74,2017-05-09,0.9184423218,0.7742468773,6.9067781043,19.1739529758
75,2017-05-10,0.9189487227,0.7717790847,6.9027752251,19.0749862158
76,2017-05-11,0.9208103131,0.777946593,6.9021178637,18.9732965009
77,2017-05-12,0.9194556822,0.7777491725,6.9002390585,18.8967451269
78,2017-05-15,0.911410864,0.7740430186,6.8929092235,18.6857455341
79,2017-05-16,0.9042408898,0.7764535672,6.8889592187,18.7074780722
80,2017-05-17,0.8995232527,0.771296213,6.8860304039,18.6684357291
81,2017-05-18,0.8985533291,0.7670320784,6.8917243238,19.1167220775
82,2017-05-19,0.8945343948,0.7684766079,6.8892566419,18.7295822524
83,2017-05-22,0.8894423197,0.7680601263,6.8893533754,18.6463577337
84,2017-05-23,0.8916629514,0.7709585377,6.8905037896,18.6137316095
85,2017-05-24,0.8934155276,0.7713749665,6.889931207,18.5776824801
86,2017-05-25,0.8917424648,0.7716069199,6.8680221152,18.3987872302
87,2017-05-26,0.8931761343,0.7787602715,6.8579849946,18.4743658449
88,2017-05-29,0.8938148016,0.7784501251,6.8568108688,18.5093850554
89,2017-05-30,0.8950147677,0.7768101674,6.8555446165,18.5581312092
90,2017-05-31,0.8911861688,0.7785847964,6.8130291418,18.7647268514
91,2017-06-01,0.8913450397,0.7775202781,6.8088956235,18.6468490953
92,2017-06-02,0.8915039672,0.7779976821,6.8206294018,18.6308282072
93,2017-06-05,0.8889679083,0.7745577385,6.8053160281,18.3943461641
94,2017-06-06,0.8882572393,0.7748267898,6.7943684491,18.3811511814
95,2017-06-07,0.8915039672,0.7747882678,6.797985201,18.2212712847
96,2017-06-08,0.8905512512,0.772597738,6.7977558108,18.2295841126
97,2017-06-09,0.8947745168,0.7841624911,6.7968861847,18.2109878311
98,2017-06-12,0.8911861688,0.7891007932,6.79832457,18.1589876125
99,2017-06-13,0.8915039672,0.7851921191,6.7972719979,18.1142908086
100,2017-06-14,0.8926180487,0.7851468357,6.7970186557,18.0378470053
101,2017-06-15,0.8955758553,0.7848826796,6.8050331363,18.0749596991
102,2017-06-16,0.8954956568,0.7831378168,6.8137369034,17.9893436017
103,2017-06-19,0.8929368694,0.7814804893,6.8168586481,17.9657112242
104,2017-06-20,0.8963786303,0.7900950161,6.8267300108,18.1156328433
105,2017-06-21,0.8971023594,0.7877455818,6.8261415628,18.1720642325
106,2017-06-22,0.8953353031,0.78939923,6.8334676336,18.1613394216
107,2017-06-23,0.8950147677,0.7858677168,6.8390763448,18.0452877472
108,2017-06-26,0.8938946992,0.7851077143,6.8419594172,17.9147224457
109,2017-06-27,0.8866820358,0.7835609151,6.8144174499,17.8478453627
110,2017-06-28,0.8791208791,0.7782417582,6.7998241758,17.9643076923
111,2017-06-29,0.8761938141,0.770962937,6.7827915535,17.935687374
112,2017-06-30,0.8762705924,0.77053102,6.781019979,18.0370662461
113,2017-07-03,0.879584836,0.7714398804,6.7950567332,18.2300114346
114,2017-07-04,0.8808244517,0.7734079098,6.8017264159,18.2120144455
115,2017-07-05,0.8826904405,0.7744284579,6.8020125342,18.2763703769
116,2017-07-06,0.8783487044,0.7730610452,6.8021958718,18.3794466403
117,2017-07-07,0.8762705924,0.7753943218,6.7989835261,18.1815632667
118,2017-07-10,0.8781944322,0.7767015017,6.8046017388,17.9925353473
119,2017-07-11,0.8768084174,0.774379658,6.8020166594,18.0149057431
120,2017-07-12,0.8734387283,0.7767053891,6.7880164206,17.8730893528
121,2017-07-13,0.8758868354,0.7726635719,6.7831304195,17.79907156
122,2017-07-14,0.8760402979,0.7707665353,6.782216382,17.6428383706
123,2017-07-17,0.8724480893,0.7656168208,6.76941197,17.5536555575
124,2017-07-18,0.8654262224,0.7683254003,6.7504110775,17.506533968
125,2017-07-19,0.8670770832,0.767233157,6.753576693,17.4932801526
126,2017-07-20,0.8707009142,0.7724684371,6.7705703091,17.5912059208
127,2017-07-21,0.8589589418,0.7697131077,6.7684246693,17.5022332932
128,2017-07-24,0.8585164835,0.767084478,6.7498282967,17.6838942308
129,2017-07-25,0.8551393877,0.7644518557,6.7512399521,17.7194287669
130,2017-07-26,0.858811405,0.7667038818,6.7542081759,17.7468223978
131,2017-07-27,0.8551393877,0.7608859244,6.7394390286,17.6283564221
132,2017-07-28,0.8525876034,0.7636456646,6.7428595788,17.7414101799
133,2017-07-31,0.8527330093,0.7625138569,6.7277223501,17.7897160399
134,2017-08-01,0.8465966813,0.7571960718,6.7195225195,17.7804774805
135,2017-08-02,0.8453799983,0.7559810635,6.7257587285,17.9114041762
136,2017-08-03,0.8431703204,0.76153457,6.7222596965,17.8275716695
137,2017-08-04,0.8426019548,0.7607010448,6.7203404112,17.8078867543
138,2017-08-07,0.8476731372,0.7665932017,6.7204373993,17.9313384759
139,2017-08-08,0.8464533604,0.7675469782,6.7007787371,17.9053665143
140,2017-08-09,0.852442247,0.7700792771,6.6759867019,17.9566959339
141,2017-08-10,0.8523695875,0.7697153086,6.6542788953,17.9463859529
142,2017-08-11,0.8499787505,0.7704632384,6.6650233744,17.9949851254
143,2017-08-14,0.8476731372,0.7708315673,6.6722895651,17.7566330423
144,2017-08-15,0.8514986376,0.7760984332,6.6832425068,17.8338726158
145,2017-08-16,0.853970965,0.7770538002,6.6945345858,17.7774551665
146,2017-08-17,0.854920065,0.7770795931,6.6777806275,17.7137727622
147,2017-08-18,0.8517887564,0.7767291312,6.6722316865,17.8839863714
148,2017-08-21,0.8502678344,0.776447581,6.671371482,17.7128645523
149,2017-08-22,0.8495454932,0.7791436581,6.6629853029,17.6626454847
150,2017-08-23,0.8475294516,0.7808543097,6.6602254428,17.8057462497
151,2017-08-24,0.8470269355,0.7792647806,6.6615280366,17.660596307
152,2017-08-25,0.8468834688,0.7798357046,6.6561653117,17.6528624661
153,2017-08-28,0.8385744235,0.7742389937,6.6229769392,17.6590356394
154,2017-08-29,0.8300132802,0.7716218459,6.5958665339,17.8622177955
155,2017-08-30,0.8392077878,0.774135616,6.5927324606,17.8641322591
156,2017-08-31,0.8456659619,0.7777843552,6.6011839323,17.8302748414
157,2017-09-01,0.8389261745,0.7724412752,6.5591442953,17.8362416107
158,2017-09-04,0.8399832003,0.7715665687,6.5290214196,17.8578748425
159,2017-09-05,0.8410428932,0.7715727502,6.5487804878,17.8456686291
160,2017-09-06,0.8381527114,0.766306261,6.5250188584,17.847288576
161,2017-09-07,0.8353521009,0.7635368808,6.4905187537,17.735193384
162,2017-09-08,0.8291873964,0.7567827529,6.4615257048,17.6933665008
163,2017-09-11,0.8335417188,0.7566474952,6.5290489289,17.6830040844
164,2017-09-12,0.838012235,0.7531886366,6.5385066622,17.7069471214
165,2017-09-13,0.8347942232,0.7533433509,6.5321813173,17.7665915352
166,2017-09-14,0.8413967186,0.7498779975,6.5559949516,17.772570467
167,2017-09-15,0.8359107247,0.7359608794,6.5450973836,17.6678926691
168,2017-09-18,0.8369601607,0.7386424506,6.5718111818,17.682457315
169,2017-09-19,0.8352823254,0.7402439024,6.5846976278,17.7493317741
170,2017-09-20,0.8328475056,0.738569168,6.5751644874,17.7518947281
171,2017-09-21,0.8399832003,0.741201176,6.5921881562,17.8286434271
172,2017-09-22,0.8360504975,0.737020316,6.5884959452,17.799933116
173,2017-09-25,0.8426729586,0.7410297464,6.6233251875,17.8042470717
174,2017-09-26,0.8483922966,0.7446763383,6.6334945279,17.9710698227
175,2017-09-27,0.8517162082,0.7458052977,6.6420236777,18.093433268
176,2017-09-28,0.8490405841,0.7440567159,6.6595347258,18.165732722
177,2017-09-29,0.8470269355,0.7468914111,6.6520413349,18.1783838726
178,2017-10-02,0.8514986376,0.7528780654,6.6534400545,18.318119891
179,2017-10-03,0.8508465924,0.7554922148,6.6428146005,18.266655322
180,2017-10-04,0.8483922966,0.7531008738,6.6312887079,18.1445660473
181,2017-10-05,0.8516436723,0.7592658832,6.6520183955,18.2342871742
182,2017-10-06,0.854189801,0.7647988383,6.6533697788,18.4974801401
183,2017-10-09,0.8513536523,0.7593648902,6.6225097906,18.6310233271
184,2017-10-10,0.8476731372,0.757904552,6.5787064508,18.5716707638
185,2017-10-11,0.8453085376,0.7583262891,6.592476754,18.7799661877
186,2017-10-12,0.8434547908,0.7610914305,6.5883097166,18.7335526316
187,2017-10-13,0.8467400508,0.7534292972,6.5902624894,18.9569009314
188,2017-10-16,0.8472422266,0.7519528933,6.5900194866,19.0571041261
189,2017-10-17,0.85041245,0.758125691,6.6201207586,19.0776426567
190,2017-10-18,0.8511362669,0.7599199932,6.6275427696,18.8365818368
191,2017-10-19,0.8450228156,0.7589572418,6.6173736691,18.8204326517
192,2017-10-20,0.8461668641,0.7583601286,6.618463361,18.8930445084
193,2017-10-23,0.8517887564,0.7588586031,6.6402896082,18.9882453152
194,2017-10-24,0.8502678344,0.7593146841,6.6339596973,19.1175070147
195,2017-10-25,0.8485362749,0.7542044972,6.6454815443,19.1792957149
196,2017-10-26,0.8508465924,0.7573385519,6.6368586744,19.0320769165
197,2017-10-27,0.8616975442,0.7637483843,6.6544592848,19.2601464886
198,2017-10-30,0.8611780916,0.757664485,6.6452807441,19.0978298312
199,2017-10-31,0.8592541674,0.7548805637,6.6314658876,19.1581027668
200,2017-11-01,0.8611780916,0.7525404754,6.611005856,19.1840337582
201,2017-11-02,0.8587376556,0.7616144268,6.6132245599,19.0912838128
202,2017-11-03,0.8578536502,0.7628292013,6.6226301793,18.994595522
203,2017-11-06,0.8628127696,0.7626402071,6.6340811044,19.1025884383
204,2017-11-07,0.864902266,0.761442657,6.6381248919,19.0894308943
205,2017-11-08,0.8628127696,0.762769629,6.6296807593,19.069456428
206,2017-11-09,0.8598452279,0.7621066208,6.6374032674,19.1243336199
207,2017-11-10,0.8580744809,0.7582804187,6.6425261713,19.0700188776
208,2017-11-13,0.8579272478,0.7637096774,6.641214825,19.1731297186
209,2017-11-14,0.8514261388,0.7627501064,6.6368667518,19.094593444
210,2017-11-15,0.8445945946,0.759375,6.6219594595,19.1627533784
211,2017-11-16,0.8495454932,0.7576501572,6.6319768924,19.1422139156
212,2017-11-17,0.8478168716,0.7578211106,6.6332344214,19.0422212802
213,2017-11-20,0.8488243782,0.754944402,6.6339869281,18.9702911468
214,2017-11-21,0.8533879502,0.7552312681,6.6329578426,18.9474313023
215,2017-11-22,0.8511362669,0.7558941186,6.6180100434,18.8088347945
216,2017-11-23,0.8440243079,0.7512238352,6.5733457124,18.6467758271
217,2017-11-24,0.8419634588,0.7503578345,6.6049507451,18.6154752884
218,2017-11-27,0.8366800535,0.7477827979,6.6018239625,18.5133868809
219,2017-11-28,0.8411843876,0.753179677,6.5974932705,18.5371803499
220,2017-11-29,0.8455229559,0.7465375835,6.6040415997,18.5241396804
221,2017-11-30,0.8439530762,0.7425521141,6.6146510254,18.5699215124
222,2017-12-01,0.8413967186,0.7413967186,6.6092553639,18.6741270509
223,2017-12-04,0.8428150021,0.7393594606,6.6187947745,18.6275600506
224,2017-12-05,0.8440955516,0.7443487803,6.6139951042,18.6376297797
225,2017-12-06,0.84623847,0.7475247525,6.6149614961,18.7890327494
226,2017-12-07,0.8484642797,0.7472255218,6.6191243849,18.935771254
227,2017-12-08,0.8516436723,0.7454011242,6.6197411003,18.9239482201
228,2017-12-11,0.8477449983,0.748134961,6.6182604273,18.9082739912
229,2017-12-12,0.8499065103,0.7484956655,6.6186469488,19.0860105388
230,2017-12-13,0.8520790729,0.7490201091,6.6199727335,19.2079072938
231,2017-12-14,0.8442380751,0.7443056142,6.6085268046,19.0997889405
232,2017-12-15,0.8470269355,0.7475266813,6.6086735558,19.1666101982
233,2017-12-18,0.8478168716,0.7478423061,6.6176345909,19.0519711742
234,2017-12-19,0.8458090163,0.7485409794,6.6030618286,19.04127548
235,2017-12-20,0.8442380751,0.745631068,6.5788096243,19.2461798227
236,2017-12-21,0.84324142,0.7484863817,6.5850408972,19.310565815
237,2017-12-22,0.8436682696,0.7472201131,6.5759723277,19.5102505695
238,2017-12-27,0.8406893653,0.7447919294,6.5552753258,19.774779319
239,2017-12-28,0.8379420144,0.7438243674,6.5360315066,19.6641528406
240,2017-12-29,0.8338197282,0.7397898774,6.5074626866,19.7291753523
241,2018-01-02,0.828843763,0.7372813925,6.4929962702,19.5220886863
242,2018-01-03,0.8317391666,0.7372535973,6.5015387175,19.4489728021
243,2018-01-04,0.828843763,0.7385246581,6.496477414,19.329962702
244,2018-01-05,0.8302200083,0.73792445,6.4882523869,19.3662930677
245,2018-01-08,0.8352125616,0.7384364821,6.4992900693,19.2782928255
246,2018-01-09,0.8380824673,0.7397753939,6.5257291317,19.2181528662
247,2018-01-10,0.8338892595,0.7394096064,6.5040026684,19.2878585724
248,2018-01-11,0.8321544479,0.7412415744,6.5013730548,19.3933594075
249,2018-01-12,0.8239268353,0.7331548159,6.4609870643,19.1114773008
250,2018-01-15,0.8145312373,0.7252830496,6.4380548994,18.8315549401
251,2018-01-16,0.8176614881,0.7265739984,6.4415372036,18.772526574
252,2018-01-17,0.819470622,0.7257887405,6.4351389003,18.7975088093
253,2018-01-18,0.8173273396,0.7209480997,6.4227217,18.6492848386
254,2018-01-19,0.8159934721,0.7210526316,6.403998368,18.6174622603
255,2018-01-22,0.8170602173,0.7197074924,6.4036277474,18.6340387287
256,2018-01-23,0.816393175,0.7170381256,6.4059106866,18.8278226794
257,2018-01-24,0.8095854922,0.7058209197,6.3729760363,18.5431509067
258,2018-01-25,0.8059966148,0.7015233336,6.3310228097,18.4420085436
259,2018-01-26,0.8041170794,0.7022756513,6.3278385333,18.5485686716
260,2018-01-29,0.8078196946,0.7103966395,6.3319331125,18.6053800792
261,2018-01-30,0.8050881572,0.7079140166,6.3252556155,18.620803478
262,2018-01-31,0.8027614996,0.7057076343,6.2888335875,18.645099141
263,2018-02-01,0.802632635,0.7024640822,6.2967332852,18.5656954812
264,2018-02-02,0.8005123279,0.7032500801,6.2880243356,18.4566122318
265,2018-02-05,0.8038585209,0.7119614148,6.2900321543,18.5888263666
266,2018-02-06,0.8110957904,0.7209424933,6.2816124584,18.8109335713
267,2018-02-07,0.8105041336,0.7187145404,6.2745988005,18.6795266656
268,2018-02-08,0.8161932746,0.7142752204,6.3294972249,18.7673849167
269,2018-02-09,0.8147967082,0.7230505989,6.3034302941,18.8162633423
270,2018-02-12,0.8154611433,0.7224985729,6.3283046563,18.6221968523
271,2018-02-13,0.8108327252,0.7211140842,6.3442795751,18.6311521933
272,2018-02-14,0.8098477486,0.7210884354,6.3444282475,18.6209912536
273,2018-02-15,0.800448251,0.7096774194,6.3444328824,18.5111662531
274,2018-02-16,0.8023106547,0.7124759307,6.3444319641,18.5033697047
275,2018-02-19,0.8058017728,0.7138597905,6.3443996777,18.5437550363
276,2018-02-20,0.8103727715,0.7144894652,6.3444084279,18.6387358185
277,2018-02-21,0.8122157245,0.7185103964,6.3443794672,18.7228719948
278,2018-02-22,0.8145975888,0.7196399479,6.3607852721,18.7952916259
279,2018-02-23,0.8130742337,0.7150174811,6.3349865843,18.5693958858
280,2018-02-26,0.8116883117,0.7128246753,6.3086850649,18.6019480519
281,2018-02-27,0.8129420372,0.7186407609,6.3137143322,18.7224615885
282,2018-02-28,0.8187326019,0.72388243,6.327574914,18.784755199
283,2018-03-01,0.8216251746,0.7273026046,6.3503409744,18.927286172
284,2018-03-02,0.8122157245,0.7254710851,6.3451104613,18.9279564652
285,2018-03-05,0.8125457057,0.7237344601,6.3402941415,18.8987568051
286,2018-03-06,0.8057368463,0.718435259,6.3280960438,18.6656997825
287,2018-03-07,0.8053475074,0.7208907143,6.3206893775,18.8497221551
288,2018-03-08,0.8050881572,0.7202721198,6.3357217615,18.692858868
289,2018-03-09,0.8136034497,0.7232365145,6.3375640713,18.6160605321
290,2018-03-12,0.8128759551,0.7201268086,6.3311656641,18.6811900504
291,2018-03-13,0.8078849572,0.7161900145,6.3229116174,18.5151074487
292,2018-03-14,0.8084727949,0.7165494381,6.313283208,18.5774921174
293,2018-03-15,0.8103071064,0.7169597277,6.3176403857,18.689166194
294,2018-03-16,0.8129420372,0.7174457361,6.3255019917,18.7289651248
295,2018-03-19,0.812413681,0.7116175156,6.3322771955,18.8375172638
296,2018-03-20,0.8145975888,0.714524275,6.3330074943,18.7427500815
297,2018-03-21,0.8139345597,0.7114032232,6.3299690705,18.5478593521
298,2018-03-22,0.8119519324,0.7080220851,6.3345241962,18.4934231893
299,2018-03-23,0.8099789405,0.7069901183,6.3158107889,18.5326421513
300,2018-03-26,0.8057368463,0.7029892837,6.2786238015,18.4334058496
301,2018-03-27,0.8080155139,0.7105688429,6.2807045895,18.4150775695
302,2018-03-28,0.8065817067,0.7066059042,6.2889982255,18.3678819164
303,2018-03-29,0.8116224332,0.7100884668,6.2874766659,18.2817141466
304,2018-04-03,0.812479688,0.7111065973,6.2846116347,18.1943451414
305,2018-04-04,0.8145975888,0.7133675464,6.3057184751,18.3447376996
306,2018-04-05,0.8156606852,0.7128466558,6.3052202284,18.0905383361
307,2018-04-06,0.8173941475,0.713544221,6.3052149747,18.2538008828
308,2018-04-09,0.8127438231,0.7078023407,6.3138816645,18.3585825748
309,2018-04-10,0.8089960359,0.705307014,6.2892160828,18.2653506998
310,2018-04-11,0.8074935401,0.7054263566,6.2835109819,18.2919089147
311,2018-04-12,0.8114907084,0.703927615,6.2851578349,18.1623792908
312,2018-04-13,0.8118860112,0.7014695137,6.2809937485,18.1182106032
313,2018-04-16,0.8084074373,0.6989894907,6.2834276475,18.0597413096
314,2018-04-17,0.8092579105,0.6982277252,6.2829974913,17.9715950473
315,2018-04-18,0.8072328059,0.7031401356,6.2823700355,17.9747336132
316,2018-04-19,0.8076239703,0.7024309482,6.2766112098,18.1447262155
317,2018-04-20,0.812413681,0.7117393777,6.2920627183,18.4762368998
318,2018-04-23,0.8171269815,0.7161300866,6.308873999,18.7122078771
319,2018-04-24,0.8187996397,0.7161876689,6.3057397855,18.831736674
320,2018-04-25,0.8206811654,0.7171112023,6.3231842429,19.0557242511
321,2018-04-26,0.8218277449,0.7158119658,6.3249506903,18.7749835634
322,2018-04-27,0.8285004143,0.7265948633,6.3394366197,18.8010770505
323,2018-04-30,0.8278831029,0.7282059773,6.3394320722,18.7082539945
324,2018-05-02,0.8328475056,0.7332389439,6.3590405597,18.9455317731
325,2018-05-03,0.8338892595,0.735323549,6.3488158773,19.025933956
326,2018-05-04,0.8354916869,0.7371960899,6.3591778762,19.1558191996
327,2018-05-07,0.8401949252,0.7394555537,6.3668291044,19.342547471
328,2018-05-08,0.8424599832,0.7407750632,6.3678180286,19.5272114575
